"Image of the issue","Address/landmark/house number","Ward name/number","Date of recording the image","Time of recording the image","Observations","Latitude","Longitude","LatLngs","Type","Entry Type"
"http://mapunitygroups.com//uploads/tmp/1471935361-2005-3586/IMG_   20160807_074332.jpg","6th cross, 4th main corner opposite ground","Kadumalleshwara","07/08/2016","09:00","Gets cleared but comes back","12.997601060661179","77.56837662309408","","point","Original"
"http://mapunitygroups.com//uploads/tmp/1475770726-32115-2278/WhatsApp_Image_2016-10-06_at_9.14.42_PM.jpeg","6th cross, 4th main corner opposite ground","Kadumalleshwara","06/10/2016","08:00","This is cleared/fixed","12.997601060661179","77.56837662309408","","point","Timeline"
"http://mapunitygroups.com//uploads/tmp/1471960043-2005-5241/Screenshot_20160807-130156_2.png","Railway land + 11th main","Kadumalleshwara","07/08/2016","10:00","Gets cleared but comes back","","","12.99978037459376, 77.56445288658142, 12.99718780230076, 77.56609439849854","polyline","Original"
"http://mapunitygroups.com//uploads/tmp/1471960248-2005-3517/IMG_20160807_162907.jpg","in front of Hayagreeva Sadana, 6th main between 6th and 7th cross","Kadumalleshwara","07/08/2016","11:00","Gets cleared but comes back","12.998051233807596","77.56698556244375","","point","Original"
"http://mapunitygroups.com//uploads/tmp/1471960532-2005-3706/IMG_20160807_163240.jpg","6th main dead end, 6th cross,  next to Azad ground","Kadumalleshwara","07/08/2016","12:00","Gets cleared but comes back, BBMP auto/pushcart is parked here","12.997541930455741","77.5669738277793","","point","Original"
"http://mapunitygroups.com//uploads/tmp/1471960878-2005-8633/IMG_20160807_164828.jpg","11th Main between 7th & 8th cross","Kadumalleshwara","07/08/2016","12:30","Gets cleared but comes back","12.998413854543726","77.56530649960041","","point","Original"
"http://mapunitygroups.com//uploads/tmp/1471961180-2005-3890/IMG_20160807_170609.jpg","Opposite Northside Manipal Hospital,  11th main","Kadumalleshwara","07/08/2016","12:35","Gets cleared but comes back","13.001019807978965","77.56381552666426","","point","Original"
"http://mapunitygroups.com//uploads/tmp/1471962979-2005-7086/IMG_20160807_175947.jpg","8th cross,  next to conservancy, Opp GM Rejoice, between 8th & 7th main","Kadumalleshwara","07/08/2016","13:05","Gets cleared but comes back","12.999171109471751","77.56580371409655","","point","Original"
"http://mapunitygroups.com//uploads/tmp/1471963176-2005-2354/Untitled.png","9th main 9th cross corner","Aramane Nagara","07/08/2016","13:00","Gets cleared but comes back","13.0104029084038","77.5761198252439","","point","Original"
"http://mapunitygroups.com//uploads/tmp/1471963298-2005-8520/Untitled1.png","8th main 8th cross corner opposite Sadashivnagar post office","Aramane Nagara","07/08/2016","12:10","Gets cleared but comes back, BBMP auto/pushcart is parked here","13.0088172504438","77.5770515576005","","point","Original"
"http://mapunitygroups.com//uploads/tmp/1471963489-2005-2632/IMG_20160809_074633399.jpg","11th main and 15th cross","kadumalleshwara","07/08/2016","14:00","Gets cleared but comes back","13.005611276495049","77.56237283349037","","point","Original"
"http://mapunitygroups.com//uploads/tmp/1475942492-8252-8410/BLANK.jpeg","Muneshwara temple. opposite small mosque Park road","110","25/08/2016","18:00","BBMP/ sweepers dump waste here, Garbage is burnt here regularly","","","12.983762575204736, 77.60120451450348, 12.983701481477734, 77.60117869824171, 12.983635487167524, 77.60120753198862","polyline","Original"
"http://mapunitygroups.com//uploads/tmp/1475942562-8252-4420/BLANK.jpeg","Puttenahalli Lake Road","195","01/09/2016","12:00","Gets cleared but comes back","12.891280229054653","77.5876345485449","","point","Original"
"http://mapunitygroups.com//uploads/tmp/1475942591-8252-7569/BLANK.jpeg","Kothnur Road, Opp Elaan Convention centre","195","01/09/2016","12:00","It's a lorry transfer point","12.89394188214596","77.58168272674084","","point","Original"
"http://mapunitygroups.com//uploads/tmp/1475942615-8252-7989/BLANK.jpeg","behind Puttenahalli shiva temple","195","01/09/2016","12:00","It's a lorry transfer point","12.898386949646344","77.58219067007303","","point","Original"
"http://mapunitygroups.com//uploads/tmp/1472703301-7372-2422/1472703188606.jpg","next to KR Road","Yediyur","01/09/2016","09:00","BBMP/ sweepers dump waste here, Bin present, people still dump outside, BBMP auto/pushcart is parked here","12.931385043965523","77.57382955402136","","point","Original"
"http://mapunitygroups.com//uploads/tmp/1472703761-7372-6943/1472703704097.jpg","next to KR Road, 3rd cross, Jayanagar","Yediyur","01/09/2016","09:00","It's a lorry transfer point, BBMP/ sweepers dump waste here, Bin present, people still dump outside, BBMP auto/pushcart is parked here","12.931012849118197","77.5738050788641","","point","Original"
"http://mapunitygroups.com//uploads/tmp/1472727619-7372-2495/1472727541027.jpg","8th cross, off KR Road, Jaynagar 7th block","Yediyur","01/09/2016","16:00","Never gets cleared","12.925596191226525","77.5756212696433","","point","Original"
"http://mapunitygroups.com//uploads/tmp/1472729863-7372-2676/1472729821970.jpg","Good shed road","not sure","01/09/2016","17:10","BBMP/ sweepers dump waste here, Gets cleared but comes back","12.974126896091665","77.56947800517082","","point","Original"
